transaction_id,customer_id,amount,payment_status,failure_reason,retry_count,recovery_action,priority,reason,should_execute
TXN0033,CUST1003,1727,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0034,CUST1015,2896,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0035,CUST1178,12167,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0036,CUST1148,12253,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0037,CUST1135,2778,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0038,CUST1017,11261,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0039,CUST1152,850,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0040,CUST1080,4471,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0041,CUST1076,7690,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0042,CUST1018,9007,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0043,CUST1062,6253,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0044,CUST1156,13422,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0045,CUST1034,4532,failed,bank_timeout,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0046,CUST1183,5816,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0047,CUST1023,10591,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0048,CUST1163,4490,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0049,CUST1139,789,failed,card_declined,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0050,CUST1010,14926,failed,insufficient_balance,2,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0051,CUST1158,12478,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0052,CUST1188,5641,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0053,CUST1009,14266,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0054,CUST1058,3851,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0055,CUST1197,4772,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0056,CUST1029,14568,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0057,CUST1088,12135,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0058,CUST1048,4372,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0059,CUST1093,7265,failed,insufficient_balance,2,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0060,CUST1083,6791,failed,bank_timeout,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0061,CUST1173,12456,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0062,CUST1110,13072,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0063,CUST1130,7951,failed,network_error,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0064,CUST1172,5284,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0065,CUST1156,14121,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0066,CUST1183,11608,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0067,CUST1192,14296,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0068,CUST1012,9331,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0069,CUST1143,9954,failed,authentication_failed,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0070,CUST1190,14313,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0071,CUST1070,12746,failed,network_error,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0072,CUST1060,4650,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0073,CUST1098,11568,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0074,CUST1119,7011,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0075,CUST1001,5962,abandoned,checkout_abandoned,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0076,CUST1154,14908,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0077,CUST1099,5706,failed,card_declined,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0078,CUST1100,9896,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0079,CUST1046,1022,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0080,CUST1194,14611,failed,card_declined,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0081,CUST1191,9036,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0082,CUST1010,12556,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0083,CUST1061,2267,failed,bank_timeout,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0084,CUST1042,10125,failed,bank_timeout,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0085,CUST1079,9632,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0086,CUST1151,11514,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0087,CUST1030,13244,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0088,CUST1017,8488,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0089,CUST1027,7301,failed,card_declined,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0090,CUST1069,10290,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0091,CUST1082,14153,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0092,CUST1145,10198,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0093,CUST1046,8187,failed,network_error,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0094,CUST1142,365,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0095,CUST1142,12620,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0096,CUST1056,6824,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0097,CUST1141,8897,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0098,CUST1069,5222,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0099,CUST1190,8978,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0100,CUST1185,9858,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0101,CUST1075,3926,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0102,CUST1070,944,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0103,CUST1026,14497,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0104,CUST1047,1040,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0105,CUST1018,9652,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0106,CUST1021,4265,failed,authentication_failed,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0107,CUST1113,5070,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0108,CUST1189,1824,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0109,CUST1044,9242,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0110,CUST1120,4970,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0111,CUST1018,11461,failed,authentication_failed,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0112,CUST1057,10809,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0113,CUST1152,12469,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0114,CUST1179,6793,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0115,CUST1010,14771,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0116,CUST1150,538,failed,bank_timeout,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0117,CUST1071,3172,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0118,CUST1085,5459,abandoned,checkout_abandoned,2,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0119,CUST1073,11054,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0120,CUST1082,2098,failed,insufficient_balance,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0121,CUST1132,6126,failed,insufficient_balance,1,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0122,CUST1073,7377,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0123,CUST1181,2793,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0124,CUST1029,7759,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0125,CUST1180,4678,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0126,CUST1098,3321,failed,bank_timeout,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0127,CUST1087,13104,failed,network_error,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0128,CUST1038,7515,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0129,CUST1096,7659,abandoned,checkout_abandoned,1,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0130,CUST1198,6929,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0131,CUST1038,8314,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0132,CUST1112,1832,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0133,CUST1039,1424,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0134,CUST1020,14154,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0135,CUST1138,787,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0136,CUST1058,12434,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0137,CUST1007,952,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0138,CUST1062,8901,failed,bank_timeout,1,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0139,CUST1097,10352,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0140,CUST1118,10650,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0141,CUST1073,11300,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0142,CUST1163,7150,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0143,CUST1123,1946,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0144,CUST1168,6683,failed,insufficient_balance,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0145,CUST1155,13337,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0146,CUST1174,13934,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0147,CUST1008,9694,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0148,CUST1044,3488,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0149,CUST1042,4409,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0150,CUST1193,3895,abandoned,checkout_abandoned,2,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0151,CUST1003,4531,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0152,CUST1149,6441,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0153,CUST1158,14686,abandoned,checkout_abandoned,1,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0154,CUST1118,11685,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0155,CUST1077,8270,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0156,CUST1116,6277,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0157,CUST1106,10929,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0158,CUST1113,7484,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0159,CUST1165,6075,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0160,CUST1023,11057,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0161,CUST1144,3561,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0162,CUST1084,12886,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0163,CUST1064,13281,failed,insufficient_balance,1,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0164,CUST1150,5503,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0165,CUST1134,2061,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0166,CUST1027,7604,abandoned,checkout_abandoned,0,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0167,CUST1133,5140,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0168,CUST1109,11440,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0169,CUST1037,1275,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0170,CUST1075,7632,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0171,CUST1166,14579,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0172,CUST1116,6731,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0173,CUST1095,2699,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0174,CUST1024,12398,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0175,CUST1084,11176,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0176,CUST1184,1041,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0177,CUST1054,2734,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0178,CUST1094,2081,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0179,CUST1196,13608,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0180,CUST1177,4580,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0181,CUST1089,299,failed,card_declined,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0182,CUST1007,1702,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0183,CUST1040,6261,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0184,CUST1193,10321,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0185,CUST1155,7441,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0186,CUST1110,2015,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0187,CUST1056,6674,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0188,CUST1196,2447,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0189,CUST1044,2315,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0190,CUST1111,506,abandoned,checkout_abandoned,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0191,CUST1106,4942,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0192,CUST1117,13830,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0193,CUST1150,6759,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0194,CUST1056,5655,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0195,CUST1049,12916,failed,bank_timeout,1,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0196,CUST1050,3041,failed,insufficient_balance,1,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0197,CUST1193,9435,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0198,CUST1112,1317,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0199,CUST1079,7764,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0200,CUST1023,10275,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0201,CUST1115,13467,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0202,CUST1015,7580,abandoned,checkout_abandoned,0,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0203,CUST1010,4258,abandoned,checkout_abandoned,1,PRIORITY_REMINDER,HIGH,Premium customer abandoned checkout.,True
TXN0204,CUST1099,6896,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0205,CUST1016,5600,failed,network_error,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0206,CUST1154,14506,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0207,CUST1079,10947,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0208,CUST1079,9356,failed,authentication_failed,0,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0209,CUST1130,6127,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0210,CUST1049,3910,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0211,CUST1189,14677,failed,authentication_failed,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0212,CUST1041,3161,failed,bank_timeout,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0213,CUST1173,11988,failed,card_declined,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0214,CUST1120,13881,failed,authentication_failed,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0215,CUST1199,6455,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0216,CUST1154,2466,failed,network_error,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0217,CUST1031,4869,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0218,CUST1023,3836,abandoned,checkout_abandoned,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0219,CUST1095,4061,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0220,CUST1182,10847,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0221,CUST1178,13815,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0222,CUST1004,4392,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0223,CUST1108,2020,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0224,CUST1163,13206,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0225,CUST1004,10552,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0226,CUST1000,10272,failed,bank_timeout,0,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0227,CUST1134,9113,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0228,CUST1095,4354,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0229,CUST1187,10964,failed,network_error,1,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0230,CUST1086,13527,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0231,CUST1016,11930,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0232,CUST1010,5369,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0233,CUST1009,12540,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0234,CUST1084,4675,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0235,CUST1098,5753,failed,network_error,2,RETRY_PAYMENT,MEDIUM,Failure appears temporary and retry may succeed.,True
TXN0236,CUST1020,7254,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0237,CUST1083,11027,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0238,CUST1176,7471,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0239,CUST1070,10676,failed,card_declined,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0240,CUST1007,2538,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0241,CUST1093,6132,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0242,CUST1094,6294,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0243,CUST1071,4288,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0244,CUST1198,4463,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0245,CUST1051,2208,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0246,CUST1174,14052,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0247,CUST1182,11824,failed,authentication_failed,1,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0248,CUST1060,13148,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0249,CUST1141,2325,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0250,CUST1134,6929,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0251,CUST1115,7831,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0252,CUST1046,12778,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0253,CUST1132,2706,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0254,CUST1132,14861,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0255,CUST1032,10439,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0256,CUST1151,9712,failed,authentication_failed,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0257,CUST1020,943,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0258,CUST1106,10326,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0259,CUST1164,5148,failed,card_declined,2,ALTERNATIVE_PAYMENT,MEDIUM,Current payment method failed; suggest another method.,True
TXN0260,CUST1040,7401,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0261,CUST1080,14313,failed,network_error,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0262,CUST1131,9401,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0263,CUST1063,2507,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0264,CUST1107,4266,abandoned,checkout_abandoned,2,PAYMENT_REMINDER,MEDIUM,Customer abandoned checkout.,True
TXN0265,CUST1127,8632,abandoned,checkout_abandoned,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0266,CUST1129,7690,failed,insufficient_balance,0,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0267,CUST1167,11217,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0268,CUST1067,12118,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0269,CUST1143,3388,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0270,CUST1195,9207,failed,insufficient_balance,1,PAYMENT_REMINDER,HIGH,Customer may need to add funds before retrying.,True
TXN0271,CUST1086,9338,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0272,CUST1010,941,failed,card_declined,3,STOP,HIGH,Maximum retry limit reached.,False
TXN0273,CUST1035,5572,success,none,0,NO_ACTION,LOW,Payment already completed.,False
TXN0274,CUST1151,5710,success,none,0,NO_ACTION,LOW,Payment already completed.,False
